tweet text,location
"RT @CBSNews: Hillary Clinton leads Sen. Bernie Sanders by 9 percentage points in Iowa, new poll shows https://t.co/4C5Gen52IA https://t.co/…",NY
"RT @FoxNews: ""88% of Republican voters describe themselves as dissatisfied w/ the way the federal govt is working.""-@UmaPemmaraju https://t…",IN
"RT @nytimes: How to make Donald Trump become president, according to @NYTimeskrugman https://t.co/kbkp4toujn https://t.co/4lf39gS1cT",NY
"@tedcruz ""It's so cold in DC, the Dems have their hands in their own pockets"" then says ""That's where Hillary is hiding her emails""",TX
@johnpodesta @brianefallon He's wasting his time and our tax money; GOP doesn't have even one electable candidate ... joke's on him!,TX
Republican world in the middle of a grand chess game with multiple players.  The reckoning is certainly on its way https://t.co/j2QlrG3GBd,CA
"Yes please. Split up that Democrat vote!
#Trump2016  https://t.co/5RyQhodF8M",TX
@ezra_parish No one is excluding #TedCruz from any benefit that any other American has. Quit the nonsense.,NY
@ezra_parish No one is excluding #TedCruz from any benefit that any other American has. Quit the nonsense.,NY
"RT @ProjectBernie16: ""A lot of people out there today are hurting, they are struggling, and no one is talking about it."" —@BernieSanders ht…",WA
"RT @MysteryCr8tve: And this man is even in consideration for the highest government office. Fuck,  America... Get it together.  https://t.c…",IN
@tgradous @GaetaSusan Trump certainly knows how the banks work and knows what can and what cannot be fixed.   @realDonaldTrump,FL
"RT @tedcruz: Together, we can and will break the #WashingtonCartel! Join us: https://t.co/XKeU2HUmCY
https://t.co/Zwbi0fz9m3",IN
RT @gcamp4: hmmm lawyer David Limbaugh bashing Trump in order to support another lawyer Ted Cruz. Go figure https://t.co/DrVUNFDCn7,NC
RT @Mimzy122: Hillary Clinton Laughs When Asked if She Will Release Transcripts of Her Goldman Sachs Speeches https://t.co/LPWFBrBqcc #Feel…,FL
"RT @bcwilliams92: 911 First Responders Slam Donald Trump For Not Supporting Their Health Care Funding

https://t.co/8hjUfjF0af #tcot https:…",CA
RT @DailyCaller: Mike Tyson: Trump Shows Me Respect…’Barack Wouldn’t Do That’ https://t.co/H6lZowEhOS https://t.co/yivz1vQCUF,TX
"RT @kkondik: What the hell is going on, seriously? https://t.co/GPRIX36c6B",ND
"Hillary Clinton Laughs, Won't Release Transcripts of Her Goldman Sachs Speeches - https://t.co/Zctej7VuFF",CT
"RT @teddyschleifer: Glenn Beck is ripping into Donald Trump here in Ankeny, saying he should ""apologize to conservatives"" for poking the Te…",NM
RT @dyanjae: @lovusa4 Mikka &amp; Joe predicted from beginning. Very fair &amp; balanced. @GeoScarborough @Morning_Joe @JoeNBC @morningmika @realDo…,FL
.@HillaryClinton &amp; .@BarackObama need to be arrested &amp; charged with treason for allowing the murder of a US Amb. &amp; 3 Americans in #Benghazi,GA
"RT @jimgeraghty: ""Ted Cruz: The conservative leader who WON'T go on a shooting spree on 5th Avenue."" https://t.co/VQeclEosqQ",TN
RT @_chasetofer: Powerful endorsement for Bernie. Reading this gave me the chills.  https://t.co/Ft8KEdB0py,OR
Reason #209 why we shouldn't vote for Trump https://t.co/thWIAGJKtc,WA
Glenn Beck endorses Ted Cruz https://t.co/fuUUJ7BSfl,WA
"In 2013 and 2014, Donald Trump Funded John Boehner and Mitch McConnell Against the Tea Party https://t.co/LEWZRcBFix",FL
"RT @datageneral: Orgy of bad grammar in just ten words, in that first sentence. Won't bother mentioning the sexism. https://t.co/AORZJBCtzf",TX
"RT @ElianaBenador: ICYMI

SECRET SERVICE FOR TRUMP DESPITE OBAMA ADMINISTRATION
(Nov 6, 2015)

https://t.co/vmo8e3znw5

#TrumpTrain https:/…",VA
RT @mboyle1: THROWDOWN: @RealDonaldTrump: Time for @megynkelly to lose debate moderating slot. https://t.co/FHrQQy8cPR,NJ
Donald Trump: I Could ‘Shoot People and I Wouldn’t Lose Any Voters’ (VIDEO) https://t.co/mR9fEa0zYe,NV
@glennbeck @robdelaney @tedcruz Latin Canadian,NY
"RT @JudgeJeanine: @realDonaldTrump the frontrunner, the man the establishment is most afraid of is on 'Justice' tonight - LIVE. @FoxNews 9 …",FL
Did someone tell you that? I doubt it's true. https://t.co/poGJnELUvb,TN
RT @datageneral: These are some of the worst constructed sentences I've ever read. https://t.co/JkDMmgwrIC,TX
Donald Trump says he could shoot someone on a busy street and not lose voters https://t.co/WETKhjvxGo via @NewsRepublic,NC
"RT @deray: Trump. &amp; in this America, he ain't lying. https://t.co/KZaq5VP6sK",CA
"Why file bankruptcy? B/c you owe the banks too much money, and you don't have to pay it back. People lost their jobs https://t.co/vbFsYOZQ9c",NC
RT @ThePatriot143: Bernie Sanders’ radical past and present: Has his views changed? #FeelTheBern https://t.co/FFY9pyRGEC https://t.co/1NSha…,NY
RT @glennbeck: T-minus 1 hour until the @tedcruz rally kicks off! You will be able to view it here: https://t.co/zaQU8TOc2I,CO
@kausmickey I'm not convinced that Trump would even build a wall.,CA
lol yo he's really gonna be the president tho  https://t.co/lDkVcQcy81,PA
